temperature,topic,source,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,model_id
0.15,You find someone’s wallet and recognize the photo inside.,openai,0.7247771016248614,"[0.1084255642361111, 0.95025634765625, 0.5645867550011837, 1.0057322184244792, 0.5253522600446429, 0.9571055536684783, 0.7878757052951388, 0.821600341796875, 0.8018855342158565, 0.7249507359095982]","[-47.033203125, -62.01220703125, -70.49317932128906, -59.80622863769531, -92.90478515625, -69.563232421875, -59.5133056640625, -58.457305908203125, -51.746734619140625, -69.79096984863281]","[-48.98486328125, -84.818359375, -89.12454223632812, -86.96099853515625, -111.2921142578125, -91.57666015625, -80.78594970703125, -83.10531616210938, -73.39764404296875, -95.16424560546875]",allenai/OLMo-2-1124-13B
0.15,Neighbor asks you to keep a strange secret.,openai,0.8642722441921921,"[0.06770833333333333, 0.2952466583251953, 0.2566870327653556, 0.9223726712740384, 0.6232084386488971, 1.8614825080422794, 1.2802908761160714, 1.0080754206730769, 1.2762256860733032, 0.4783528645833333, 1.3234388563368056, 0.9781775841346154]","[-8.7734375, -98.17669677734375, -145.07220458984375, -61.44970703125, -37.21331787109375, -29.47589111328125, -48.2171630859375, -75.478515625, -73.8471565246582, -9.71923828125, -44.13116455078125, -66.3759765625]","[-8.9765625, -105.55786323547363, -159.96005249023438, -85.431396484375, -47.807861328125, -61.12109375, -84.0653076171875, -101.6884765625, -114.6863784790039, -11.154296875, -67.95306396484375, -91.80859375]",allenai/OLMo-2-1124-13B
0.15,You overhear a conversation not meant for you.,openai,0.7691762834997664,"[-0.12607421875, 1.004566333912037, 0.35223984136814024, 1.0245755103326613, 0.74939453125, 1.0167686060855263, 0.7724643283420138, 1.2487573623657227, 0.8798942565917969]","[-66.3828125, -50.91748046875, -217.5770263671875, -51.33003234863281, -53.60693359375, -46.31884765625, -41.09368896484375, -39.95798110961914, -79.5618896484375]","[-63.861328125, -78.040771484375, -246.460693359375, -83.09187316894531, -72.341796875, -65.637451171875, -54.998046875, -59.9380989074707, -107.718505859375]",allenai/OLMo-2-1124-13B
0.15,Unexpected letter arrives with no return address or name.,openai,0.8815404083955306,"[0.39625142415364584, 0.11618905067443848, 0.9372111002604167, 0.37444139563519024, 0.21036031971807065, 1.9659624099731445, 1.1255045996771917, 1.8513519024026805, 0.9217003131734913, 0.9164315682870371]","[-99.84722900390625, -48.8715238571167, -62.335693359375, -42.989898681640625, -108.70411682128906, -38.4307861328125, -58.5754508972168, -69.99726867675781, -69.18646240234375, -68.75927734375]","[-111.73477172851562, -51.19530487060547, -90.4520263671875, -51.60205078125, -118.38069152832031, -69.88618469238281, -99.0936164855957, -123.68647384643555, -95.915771484375, -93.5029296875]",allenai/OLMo-2-1124-13B
0.15,A chance meeting changes your entire daily routine.,openai,0.818738626066723,"[0.5082739468278556, 0.6748046875, 0.8266016179865057, 1.3078765869140625, 0.7549656762017144, 0.42703023450127964, 1.5938809712727864, 0.8666240985576923, 0.4085898148386102]","[-83.1689453125, -60.4951171875, -145.31666564941406, -72.59619140625, -56.85817337036133, -73.28372573852539, -44.70033645629883, -61.130859375, -88.70426940917969]","[-97.90888977050781, -76.015625, -190.77975463867188, -114.4482421875, -84.03693771362305, -85.6676025390625, -87.73512268066406, -83.6630859375, -104.23068237304688]",allenai/OLMo-2-1124-13B
0.15,You help a stranger and they never say thanks.,openai,0.9333870737045838,"[0.2494043810614224, 0.925400390625, 0.9403855723719443, 1.2274719646998815, 1.021705322265625, 1.5573008110125859, 1.1120865433304399, 0.6142046893084491, 0.9992404513888888, 0.6866706109816029]","[-70.63392639160156, -43.485595703125, -50.83004188537598, -74.57736396789551, -56.667510986328125, -38.659921526908875, -52.6796875, -63.32124328613281, -44.123046875, -81.38621520996094]","[-77.86665344238281, -66.62060546875, -79.98199462890625, -108.94657897949219, -82.21014404296875, -76.03514099121094, -82.70602416992188, -79.90476989746094, -62.109375, -102.67300415039062]",allenai/OLMo-2-1124-13B
0.15,Lost phone reveals someone’s hidden double life.,openai,0.768528189564274,"[0.045015775240384616, 0.3876406876082273, 0.7528528284143519, 0.4772675254128196, 1.2013687133789062, 0.6970272972470238, 1.1746985394021738, 1.0481019631410255, 1.1327803762335527]","[-64.275390625, -323.9066467285156, -82.7701416015625, -119.04879760742188, -97.27325439453125, -114.02880859375, -69.73486328125, -87.3095703125, -105.546142578125]","[-65.44580078125, -361.5077934265137, -103.09716796875, -140.04856872558594, -145.3280029296875, -143.303955078125, -96.7529296875, -128.185546875, -148.591796875]",allenai/OLMo-2-1124-13B
0.15,You see someone you know pretending not to notice.,openai,0.8971502782623577,"[0.04501914978027344, 1.0550858347039473, 0.7057574728260869, 0.7187030498798077, 1.0656598961871604, 0.5205050381747159, 1.158195163892663, 1.4192101614815849, 0.9540959110966435, 1.3292711046006944]","[-65.75370788574219, -40.801025390625, -82.248046875, -76.242431640625, -48.9337158203125, -52.093505859375, -35.624603271484375, -34.68340301513672, -75.52798461914062, -52.470458984375]","[-66.56405258178711, -60.84765625, -98.48046875, -94.9287109375, -73.44389343261719, -63.54461669921875, -62.263092041015625, -64.48681640625, -101.28857421875, -88.36077880859375]",allenai/OLMo-2-1124-13B
0.15,Childhood home is up for sale again.,openai,0.6501046326990969,"[-0.1242947048611111, 0.28821705005787035, 0.5670357981035786, 0.4486660427517361, 0.8157435825892857, 1.0123697916666667, 1.26517333984375, 0.5504150390625, 0.9259541829427084, 0.7517662048339844]","[-54.801513671875, -90.7548828125, -56.69926452636719, -79.4027099609375, -55.4638671875, -78.98046875, -54.97418212890625, -99.5760498046875, -43.84033203125, -76.2891845703125]","[-52.564208984375, -98.5367431640625, -74.27737426757812, -95.5546875, -78.3046875, -109.3515625, -86.603515625, -119.94140625, -66.063232421875, -100.345703125]",allenai/OLMo-2-1124-13B
0.2,Old friend calls after twenty years of silence.,openai,0.6892613226316889,"[0.022279800907258066, 0.72931640625, 0.5604426066080729, 0.7717028166118421, 0.5114913076724646, 0.43995884486607145, 0.9671119591769051, 1.0066557384672619, 1.0920660400390625, 0.8817918565538194, 0.5990571717958193]","[-79.869140625, -64.37353515625, -37.93951416015625, -34.855224609375, -135.86923217773438, -68.828125, -69.82591891288757, -39.4403076171875, -58.61882019042969, -51.069915771484375, -80.14814758300781]","[-80.559814453125, -82.6064453125, -51.39013671875, -49.517578125, -162.978271484375, -84.2266845703125, -102.70772552490234, -60.580078125, -85.92047119140625, -74.8782958984375, -102.31326293945312]",allenai/OLMo-2-1124-13B
0.2,You find someone’s wallet and recognize the photo inside.,openai,0.892940967024261,"[0.1084255642361111, 0.47085505723953247, 0.49507233903214737, 0.8849365234375, 1.051177978515625, 1.0401990562677383, 0.9185199896494548, 0.7372516134510869, 1.9356218973795574, 1.822290547688802, 0.2080365349264706, 1.0429045024671053]","[-47.033203125, -67.12634468078613, -80.74653625488281, -35.65625, -56.5845947265625, -61.55951642990112, -73.80760335922241, -50.82958984375, -61.26153564453125, -28.36864471435547, -99.16790771484375, -76.00732421875]","[-48.98486328125, -82.19370651245117, -99.06421279907227, -53.35498046875, -86.017578125, -94.84588623046875, -101.36320304870605, -67.786376953125, -107.71646118164062, -55.7030029296875, -106.24114990234375, -115.6376953125]",allenai/OLMo-2-1124-13B
0.2,Neighbor asks you to keep a strange secret.,openai,0.9061210339349902,"[0.29296875, 0.4274750585141389, 0.3634681701660156, 0.6943033854166667, 1.612518310546875, 1.4697106402853262, 0.93189453125, 1.6363713582356771, 0.9193355853740985, 0.9347076416015625, 0.6845779418945312]","[-0.265625, -76.84896850585938, -161.513427734375, -88.8310546875, -18.80169677734375, -45.7200927734375, -50.9671630859375, -36.8299560546875, -81.63721466064453, -70.9794921875, -76.63410186767578]","[-0.55859375, -86.68089485168457, -184.775390625, -109.66015625, -41.376953125, -79.5234375, -74.2645263671875, -61.375526428222656, -105.5399398803711, -100.89013671875, -98.54059600830078]",allenai/OLMo-2-1124-13B
0.2,You overhear a conversation not meant for you.,openai,0.7116200110408741,"[-0.027126312255859375, 0.5771484375, 0.4638536725725446, 0.6572265625, 0.9800910334433278, 0.943798828125, 1.7082239233929177, 0.40349942161923363, 0.6978645324707031]","[-83.58523559570312, -58.2958984375, -165.84384155273438, -54.28515625, -64.61445426940918, -60.90966796875, -48.02092361450195, -55.60594177246094, -107.56967163085938]","[-82.82569885253906, -70.416015625, -198.3135986328125, -70.05859375, -94.99727630615234, -89.2236328125, -87.31007385253906, -64.07942962646484, -129.90133666992188]",allenai/OLMo-2-1124-13B
0.2,Unexpected letter arrives with no return address or name.,openai,0.6626683121607482,"[0.056659698486328125, 0.6466180801391601, 0.3112589518229167, 0.46476699366714014, 0.707012939453125, 0.7599664885422279, 0.8179791358209425, 1.2927472114562988, 0.9070053100585938]","[-113.547119140625, -43.372318267822266, -87.46142578125, -171.68310546875, -100.65185546875, -66.03628921508789, -57.09186553955078, -62.592997550964355, -73.77285766601562]","[-115.3602294921875, -56.30467987060547, -98.666748046875, -202.35772705078125, -128.932373046875, -88.0753173828125, -82.44921875, -101.37541389465332, -99.16900634765625]",allenai/OLMo-2-1124-13B
0.2,A chance meeting changes your entire daily routine.,openai,0.7983834852233063,"[0.4082035162510016, 0.872633038145123, 0.47612818400065104, 1.4671712239583334, 0.7622359426398027, 0.7131151471819196, 0.7788712350945723, 0.930930655343192, 0.7761624243951613]","[-106.3227310180664, -76.78990173339844, -172.74855422973633, -66.45556640625, -88.4114990234375, -63.23101806640625, -41.579620361328125, -93.40154647827148, -68.44580078125]","[-122.24266815185547, -105.5867919921875, -208.45816802978516, -110.470703125, -117.37646484375, -83.1982421875, -56.378173828125, -125.9841194152832, -92.5068359375]",allenai/OLMo-2-1124-13B
0.2,You help a stranger and they never say thanks.,openai,0.9391407222886141,"[0.5834455818965517, 0.5851434404785568, 0.8328813825334821, 1.2849710782368977, 1.0006854717548077, 1.7050238715277777, 0.7316010573814655, 0.8867984008789063, 0.8930563926696777, 0.8878005455280172]","[-92.85546875, -61.10077941417694, -73.96951293945312, -47.56206130981445, -96.9490966796875, -55.2138671875, -77.0555419921875, -53.064903259277344, -72.01022338867188, -82.012451171875]","[-109.775390625, -82.75108671188354, -103.120361328125, -78.4013671875, -135.975830078125, -101.24951171875, -98.27197265625, -75.23486328125, -100.58802795410156, -107.7586669921875]",allenai/OLMo-2-1124-13B
0.2,Lost phone reveals someone’s hidden double life.,openai,1.0264203119456894,"[0.045015775240384616, 0.3445368184671774, 0.8091253465221774, 1.5962049696180556, 2.006247127757353, 0.7604331970214844, 1.39716796875, 0.7496196746826171, 1.5001920617145041, 1.0556601796831404]","[-64.275390625, -220.28351593017578, -81.028076171875, -29.454498291015625, -32.40087890625, -81.8209228515625, -107.5810546875, -121.14018249511719, -61.632362365722656, -79.14124536514282]","[-65.44580078125, -246.81285095214844, -106.1109619140625, -58.186187744140625, -66.507080078125, -106.15478515625, -149.49609375, -151.12496948242188, -96.13677978515625, -116.08935165405273]",allenai/OLMo-2-1124-13B
0.2,You see someone you know pretending not to notice.,openai,1.0128679582507643,"[0.23766860961914063, 0.826673005756579, 0.784521484375, 0.8356875465029762, 0.9656464949898098, 1.745361328125, 0.9725713315217391, 2.081278846377418, 1.2119918823242188, 0.39992423284621464, 1.0802227783203124]","[-81.12962341308594, -42.569580078125, -58.41357421875, -48.9771728515625, -72.97372436523438, -58.22265625, -67.35546875, -57.48992156982422, -41.73291015625, -57.40627861022949, -55.86126708984375]","[-85.88299560546875, -58.2763671875, -74.10400390625, -66.526611328125, -95.18359375, -86.1484375, -89.724609375, -101.19677734375, -65.97274780273438, -65.8046875, -82.86683654785156]",allenai/OLMo-2-1124-13B
0.2,Childhood home is up for sale again.,openai,0.7912694355185104,"[-0.0452850341796875, 0.8091001157407407, 0.7502886249173072, 0.8453107561383929, 0.6275691986083984, 0.80667724609375, 1.1686091423034668, 1.3650538126627605, 0.7941010573814655]","[-149.91909790039062, -61.9150390625, -46.35439491271973, -72.820556640625, -66.6961669921875, -69.2034912109375, -60.51204490661621, -54.81744384765625, -61.20782470703125]","[-147.4284210205078, -83.7607421875, -69.61334228515625, -96.4892578125, -86.77838134765625, -93.40380859375, -88.55866432189941, -87.5787353515625, -84.23675537109375]",allenai/OLMo-2-1124-13B
0.25,Old friend calls after twenty years of silence.,openai,0.6397042519262258,"[-0.010072769657258064, 0.6716941550925926, 0.5789739435369318, 0.7901537346117424, 0.2818186745714785, 0.5524849430207284, 0.8686174665178571, 0.7053748821390087, 1.0142378373579546, 0.9437596520712209]","[-78.798828125, -63.671875, -50.6839599609375, -104.2779541015625, -160.54518127441406, -143.13634490966797, -59.8505859375, -64.59893798828125, -52.84228515625, -107.669189453125]","[-78.486572265625, -81.8076171875, -63.42138671875, -130.35302734375, -179.42703247070312, -177.39041137695312, -84.171875, -85.0548095703125, -75.155517578125, -148.2508544921875]",allenai/OLMo-2-1124-13B
0.25,You find someone’s wallet and recognize the photo inside.,openai,0.6952154156393017,"[0.1084255642361111, 0.21439901987711588, 0.6248858051915323, 1.0755282315340908, 1.173487613075658, 1.16485455456902, 0.5701768663194444, 1.161816914876302, 0.41760566907051283, 0.4409739176432292]","[-47.033203125, -105.39167785644531, -76.3603515625, -52.939453125, -43.30712890625, -74.04167366027832, -31.98193359375, -42.00093078613281, -91.50439453125, -68.0859375]","[-48.98486328125, -115.68283081054688, -95.7318115234375, -76.60107421875, -65.6033935546875, -113.646728515625, -42.2451171875, -62.91363525390625, -107.791015625, -78.6693115234375]",allenai/OLMo-2-1124-13B
0.25,Neighbor asks you to keep a strange secret.,openai,0.7498439192263587,"[0.29296875, 0.4274750585141389, 0.19083658854166666, 0.3719724767348346, 0.32033597506009615, 0.7485064338235294, 1.8379154205322266, 1.1582601796025815, 0.59234619140625, 1.3388831097146738, 0.6100129910877773, 1.1086138556985294]","[-0.265625, -76.84896850585938, -41.738037109375, -82.86953735351562, -51.2698974609375, -84.453125, -72.23614501953125, -44.957794189453125, -7.669677734375, -59.1695556640625, -74.49608039855957, -85.74365234375]","[-0.55859375, -86.68089485168457, -46.318115234375, -95.5166015625, -59.5986328125, -109.90234375, -131.0494384765625, -71.5977783203125, -10.0390625, -89.9638671875, -91.57644414901733, -123.4365234375]",allenai/OLMo-2-1124-13B
0.25,You overhear a conversation not meant for you.,openai,0.646810505059333,"[-0.08734809027777778, 0.806796875, 0.4305684652673193, 0.9745950007784194, 0.8511219639931956, 0.9051288155948415]","[-78.195068359375, -53.9417724609375, -185.7164306640625, -156.98463439941406, -61.27772521972656, -75.39636611938477]","[-75.836669921875, -74.1116943359375, -221.45361328125, -224.231689453125, -87.66250610351562, -106.17074584960938]",allenai/OLMo-2-1124-13B
