topic,model,history,story,sentence,sequentiality,story_type
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,2,1.9733887778388128,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,2,1.6488305462731256,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,3,1.9703445434570312,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,3,2.564467748006185,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,3,2.1880811055501304,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,3,2.797125498453776,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,3,2.1880811055501304,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,3,2.797125498453776,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,3,2.1880811055501304,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,3,2.797125498453776,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,3,1.8721335728963215,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,3,2.025780518849691,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,3,1.8790559768676758,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,3,2.111936887105306,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,3,1.8790559768676758,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,3,2.111936887105306,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,3,1.8790559768676758,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,3,2.111936887105306,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,3,2.5176782608032227,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,3,2.2597250938415527,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,3,2.6508054733276367,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,3,2.431518872578939,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,3,2.6508054733276367,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,3,2.431518872578939,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,3,2.6508054733276367,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,3,2.431518872578939,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,3,1.7893900275230408,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,3,1.9486085573832195,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,3,1.716973344484965,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,3,1.9180512527624767,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,3,1.716973344484965,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,3,1.9180512527624767,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,3,1.716973344484965,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,3,1.9180512527624767,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,3,2.1252145767211914,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,3,2.382272720336914,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,3,2.523774782816569,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,3,2.708133488893509,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,3,2.523774782816569,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,3,2.708133488893509,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,3,2.523774782816569,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,3,2.708133488893509,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,4,0.24699519230769232,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,4,0.0908954326923077,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,4,1.9072265625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,4,1.9452373798076923,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,4,1.9072265625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,4,1.9452373798076923,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,4,1.9072265625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,4,1.9452373798076923,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,4,0.3173076923076923,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,4,0.17412860576923078,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,4,1.8212139423076923,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,4,1.6588792067307692,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,4,1.8212139423076923,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,4,1.6588792067307692,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,4,1.8212139423076923,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,4,1.6588792067307692,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,4,0.16669170673076922,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,4,0.18389423076923078,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,4,1.2448918269230769,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,4,1.2279146634615385,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,4,1.2448918269230769,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,4,1.2279146634615385,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,4,1.2448918269230769,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,4,1.2279146634615385,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,4,0.06881009615384616,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,4,0.234375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,4,1.5537860576923077,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,4,1.6810396634615385,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,4,1.5537860576923077,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,4,1.6810396634615385,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,4,1.5537860576923077,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,4,1.6810396634615385,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,4,0.23152043269230768,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,4,0.3551682692307692,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,4,2.199894831730769,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,4,1.9779897836538463,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,4,2.199894831730769,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,4,1.9779897836538463,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,4,2.199894831730769,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,4,1.9779897836538463,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,5,1.2813895089285714,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,5,0.9199916294642857,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,5,1.3727678571428572,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,5,0.9778180803571429,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,5,1.3168247767857142,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,5,0.8967633928571429,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,5,1.3168247767857142,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,5,0.8967633928571429,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,5,1.1116071428571428,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,5,0.8745465959821429,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,5,1.1377650669642858,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,5,0.9769112723214286,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,5,1.0779854910714286,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,5,0.9400111607142857,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,5,1.0779854910714286,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,5,0.9400111607142857,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,5,1.0633370535714286,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,5,0.6312779017857143,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,5,1.5417131696428572,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,5,1.2906668526785714,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,5,1.7979910714285714,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,5,1.5747767857142858,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,5,1.7979910714285714,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,5,1.5747767857142858,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,5,0.7239118303571429,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,5,0.5821707589285714,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,5,1.1089564732142858,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,5,1.0916573660714286,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,5,1.3367745535714286,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,5,1.1870814732142858,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,5,1.3367745535714286,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,5,1.1870814732142858,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,5,1.5266462053571428,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,5,1.4471261160714286,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,5,1.304443359375,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,5,1.4889787946428572,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,5,1.4060756138392858,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,5,1.6920340401785714,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,5,1.4060756138392858,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,5,1.6920340401785714,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,6,1.1200086805555556,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,6,1.0744357638888888,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,6,1.5872938368055556,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,6,1.5539822048611112,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,6,1.5554470486111112,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,6,1.4342447916666667,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,6,1.5554470486111112,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,6,1.4342447916666667,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,6,1.4331597222222223,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,6,1.220703125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,6,1.6915147569444444,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,6,1.4600694444444444,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,6,1.6393229166666667,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,6,1.4168836805555556,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,6,1.6393229166666667,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,6,1.4168836805555556,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,6,1.5455729166666667,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,6,1.3451605902777777,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,6,1.8581814236111112,naive
