"topic","model","history","story","sentence","sequentiality","knowledge","topicNumber"
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",4,1,1,0.570127911037869,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",4,1,1,0.61426756117079,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",6,1,1,0.570127911037869,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",6,1,1,0.61426756117079,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",8,1,1,0.570127911037869,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",8,1,1,0.61426756117079,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",2,1,1,0.411189291212294,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",2,1,1,0.601116074456109,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",4,1,1,0.411189291212294,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",4,1,1,0.601116074456109,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",6,1,1,0.411189291212294,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",6,1,1,0.601116074456109,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",8,1,1,0.411189291212294,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",8,1,1,0.601116074456109,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",2,1,2,1.73815218607585,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",2,1,2,1.7413207160102,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",4,1,2,1.73815218607585,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",4,1,2,1.7413207160102,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",6,1,2,1.73815218607585,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",6,1,2,1.7413207160102,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",8,1,2,1.73815218607585,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",8,1,2,1.7413207160102,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",2,1,2,1.61895651287503,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",2,1,2,1.65479294459025,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",4,1,2,1.61895651287503,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",4,1,2,1.65479294459025,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",6,1,2,1.61895651287503,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",6,1,2,1.65479294459025,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",8,1,2,1.61895651287503,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",8,1,2,1.65479294459025,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",2,1,2,1.55339325798882,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",2,1,2,1.48246722751194,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",4,1,2,1.55339325798882,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",4,1,2,1.48246722751194,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",6,1,2,1.55339325798882,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",6,1,2,1.48246722751194,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",8,1,2,1.55339325798882,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",8,1,2,1.48246722751194,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",2,1,2,2.02553677558899,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",2,1,2,2.0280916955736,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",4,1,2,2.02553677558899,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",4,1,2,2.0280916955736,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",6,1,2,2.02553677558899,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",6,1,2,2.0280916955736,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",8,1,2,2.02553677558899,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",8,1,2,2.0280916955736,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",2,1,2,1.73384234640333,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",2,1,2,1.64883054627313,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",4,1,2,1.73384234640333,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",4,1,2,1.64883054627313,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",6,1,2,1.73384234640333,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",6,1,2,1.64883054627313,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",8,1,2,1.73384234640333,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",8,1,2,1.64883054627313,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",2,1,3,2.77895545959473,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",2,1,3,2.56446774800619,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",4,1,3,3.07088343302409,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",4,1,3,2.79712549845378,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",6,1,3,3.07088343302409,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",6,1,3,2.79712549845378,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",8,1,3,3.07088343302409,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",8,1,3,2.79712549845378,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",2,1,3,2.07550366719564,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",2,1,3,2.02578051884969,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",4,1,3,2.1164231300354,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",4,1,3,2.11193688710531,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",6,1,3,2.1164231300354,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",6,1,3,2.11193688710531,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",8,1,3,2.1164231300354,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",8,1,3,2.11193688710531,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",2,1,3,2.27646621068319,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",2,1,3,2.25972509384155,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",4,1,3,2.47150961558024,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",4,1,3,2.43151887257894,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",6,1,3,2.47150961558024,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",6,1,3,2.43151887257894,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",8,1,3,2.47150961558024,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",8,1,3,2.43151887257894,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",2,1,3,2.0436155796051,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",2,1,3,1.94860855738322,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",4,1,3,2.05862000584602,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",4,1,3,1.91805125276248,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",6,1,3,2.05862000584602,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",6,1,3,1.91805125276248,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",8,1,3,2.05862000584602,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",8,1,3,1.91805125276248,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",2,1,3,2.50038051605225,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",2,1,3,2.38227272033691,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",4,1,3,2.9072131117185,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",4,1,3,2.70813348889351,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",6,1,3,2.9072131117185,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",6,1,3,2.70813348889351,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",8,1,3,2.9072131117185,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",8,1,3,2.70813348889351,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",2,1,4,-0.0196814903846154,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",2,1,4,0.0908954326923077,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",4,1,4,1.78786057692308,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",4,1,4,1.94523737980769,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",6,1,4,1.78786057692308,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",6,1,4,1.94523737980769,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",8,1,4,1.78786057692308,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",8,1,4,1.94523737980769,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",2,1,4,0.0984074519230769,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",2,1,4,0.174128605769231,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",4,1,4,1.59457632211538,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",4,1,4,1.65887920673077,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",6,1,4,1.59457632211538,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",6,1,4,1.65887920673077,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",8,1,4,1.59457632211538,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",8,1,4,1.65887920673077,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",2,1,4,0.134314903846154,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",2,1,4,0.183894230769231,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",4,1,4,1.15640024038462,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",4,1,4,1.22791466346154,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",6,1,4,1.15640024038462,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",6,1,4,1.22791466346154,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",8,1,4,1.15640024038462,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",8,1,4,1.22791466346154,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",2,1,4,0.180288461538462,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",2,1,4,0.234375,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",4,1,4,1.71469350961538,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",4,1,4,1.68103966346154,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",6,1,4,1.71469350961538,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",6,1,4,1.68103966346154,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",8,1,4,1.71469350961538,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",8,1,4,1.68103966346154,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",2,1,4,0.301081730769231,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",2,1,4,0.355168269230769,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",4,1,4,2.13566706730769,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",4,1,4,1.97798978365385,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",6,1,4,2.13566706730769,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",6,1,4,1.97798978365385,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",8,1,4,2.13566706730769,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",8,1,4,1.97798978365385,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",2,1,5,1.02720424107143,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",2,1,5,0.919991629464286,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",4,1,5,1.08586774553571,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",4,1,5,0.977818080357143,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",6,1,5,1.0048828125,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",6,1,5,0.896763392857143,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",8,1,5,1.0048828125,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",8,1,5,0.896763392857143,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",2,1,5,0.731654575892857,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",2,1,5,0.874546595982143,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",4,1,5,0.918770926339286,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",4,1,5,0.976911272321429,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",6,1,5,0.87255859375,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",6,1,5,0.940011160714286,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",8,1,5,0.87255859375,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",8,1,5,0.940011160714286,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",2,1,5,0.694266183035714,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",2,1,5,0.631277901785714,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",4,1,5,1.32380022321429,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",4,1,5,1.29066685267857,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",6,1,5,1.58635602678571,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",6,1,5,1.57477678571429,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",8,1,5,1.58635602678571,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",8,1,5,1.57477678571429,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",2,1,5,0.575055803571429,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",2,1,5,0.582170758928571,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",4,1,5,1.06647600446429,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",4,1,5,1.09165736607143,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",6,1,5,1.1376953125,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",6,1,5,1.18708147321429,"clairvoyant",4
"A short story about a famous con man","meta-llama/Llama-3.1-8B-Instruct",8,1,5,1.1376953125,"naive",3
"A short story about a famous con man being captured","meta-llama/Llama-3.1-8B-Instruct",8,1,5,1.18708147321429,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",2,1,5,1.34793526785714,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",2,1,5,1.44712611607143,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",4,1,5,1.35958426339286,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",4,1,5,1.48897879464286,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",6,1,5,1.59430803571429,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",6,1,5,1.69203404017857,"clairvoyant",4
"A short story about a famous con man","Qwen/Qwen2.5-7B-Instruct",8,1,5,1.59430803571429,"naive",3
"A short story about a famous con man being captured","Qwen/Qwen2.5-7B-Instruct",8,1,5,1.69203404017857,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",2,1,6,1.04036458333333,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",2,1,6,1.07443576388889,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",4,1,6,1.49685329861111,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",4,1,6,1.55398220486111,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",6,1,6,1.34819878472222,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",6,1,6,1.43424479166667,"clairvoyant",4
"A short story about a famous con man","SakanaAI/TinySwallow-1.5B-Instruct",8,1,6,1.34819878472222,"naive",3
"A short story about a famous con man being captured","SakanaAI/TinySwallow-1.5B-Instruct",8,1,6,1.43424479166667,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",2,1,6,1.25390625,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",2,1,6,1.220703125,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",4,1,6,1.48871527777778,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",4,1,6,1.46006944444444,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",6,1,6,1.44596354166667,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",6,1,6,1.41688368055556,"clairvoyant",4
"A short story about a famous con man","openai-community/gpt2-xl",8,1,6,1.44596354166667,"naive",3
"A short story about a famous con man being captured","openai-community/gpt2-xl",8,1,6,1.41688368055556,"clairvoyant",4
"A short story about a famous con man","allenai/OLMo-2-1124-13B",2,1,6,1.42122395833333,"naive",3
"A short story about a famous con man being captured","allenai/OLMo-2-1124-13B",2,1,6,1.34516059027778,"clairvoyant",4
