topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,0,-0.4683685302734375,-41.1904296875,-69.0927734375
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,6,1,0,-0.08292388916015625,-33.191162109375,-33.35107421875
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,0,-0.4683685302734375,-70.2493896484375,-74.078369140625
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,8,1,0,-0.08292388916015625,-45.178104400634766,-76.46484375
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,0,-0.4683685302734375,-37.35252380371094,-74.203125
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,2,1,1,0.21272108289930555,-30.984375,-54.2265625
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,1,0.2504238552517361,-46.748046875,-61.9501953125
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,4,1,1,0.21272108289930555,-27.7236328125,-41.1953125
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,1,0.2504238552517361,-31.008544921875,-56.7265625
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,6,1,1,0.21272108289930555,-25.2216796875,-42.725830078125
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,1,0.2504238552517361,-36.587890625,-40.71875
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,8,1,1,0.21272108289930555,-47.850013732910156,-70.05122375488281
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,1,0.2504238552517361,-52.015663146972656,-68.371337890625
A short story about a famous con man,openai-community/gpt2-xl,2,1,1,0.6755366855197482,-31.3896484375,-45.7734375
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,1,0.7112935384114584,-22.47412109375,-50.37890625
A short story about a famous con man,openai-community/gpt2-xl,4,1,1,0.6755366855197482,-31.74609375,-49.3359375
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,1,0.7112935384114584,-64.580078125,-82.2265625
A short story about a famous con man,openai-community/gpt2-xl,6,1,1,0.6755366855197482,-25.3695068359375,-33.01507568359375
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,1,0.7112935384114584,-41.2509765625,-72.998046875
A short story about a famous con man,openai-community/gpt2-xl,8,1,1,0.6755366855197482,-33.55859375,-33.105224609375
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,1,0.7112935384114584,-70.2669677734375,-74.77459716796875
A short story about a famous con man,allenai/OLMo-2-1124-13B,2,1,1,0.5328094694349501,-45.673377990722656,-77.01715087890625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,1,0.5948707262674967,-37.91105651855469,-71.4765625
A short story about a famous con man,allenai/OLMo-2-1124-13B,4,1,1,0.5328094694349501,-30.9423828125,-56.23046875
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,1,0.5948707262674967,-46.7314453125,-60.4208984375
A short story about a famous con man,allenai/OLMo-2-1124-13B,6,1,1,0.5328094694349501,-27.78369140625,-41.76953125
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,1,0.5948707262674967,-29.7056884765625,-53.5078125
A short story about a famous con man,allenai/OLMo-2-1124-13B,8,1,1,0.5328094694349501,-24.708984375,-42.806884765625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,1,0.5948707262674967,-36.4140625,-39.39453125
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,2,1,1,0.570127911037869,-47.75641632080078,-67.02630615234375
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,1,0.61426756117079,-52.61299133300781,-64.691162109375
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,4,1,1,0.570127911037869,-31.72021484375,-44.478515625
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,1,0.61426756117079,-22.3798828125,-50.16796875
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,6,1,1,0.570127911037869,-31.8671875,-49.109375
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,1,0.61426756117079,-64.2109375,-78.009765625
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,8,1,1,0.570127911037869,-25.12176513671875,-31.065185546875
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,1,0.61426756117079,-41.2333984375,-69.0927734375
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,2,1,1,0.41118929121229386,-33.191162109375,-33.35107421875
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,1,0.6011160744561089,-70.2493896484375,-74.078369140625
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,4,1,1,0.41118929121229386,-45.178104400634766,-76.46484375
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,1,0.6011160744561089,-37.35252380371094,-74.203125
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,6,1,1,0.41118929121229386,-30.984375,-54.2265625
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,1,0.6011160744561089,-47.8818359375,-61.9501953125
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,8,1,1,0.41118929121229386,-29.0615234375,-41.1953125
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,1,0.6011160744561089,-29.3179931640625,-56.7265625
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,2,1,2,1.7381521860758464,-23.395263671875,-42.725830078125
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,2,1.7413207160101996,-38.822265625,-40.71875
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,4,1,2,1.7381521860758464,-49.91756057739258,-70.05122375488281
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,2,1.7413207160101996,-51.34999084472656,-68.371337890625
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,6,1,2,1.7381521860758464,-31.33642578125,-45.7734375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,2,1.7413207160101996,-22.12548828125,-50.37890625
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,8,1,2,1.7381521860758464,-31.921875,-49.3359375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,2,1.7413207160101996,-60.435546875,-82.2265625
A short story about a famous con man,openai-community/gpt2-xl,2,1,2,1.6189565128750272,-25.1904296875,-33.01507568359375
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,2,1.6547929445902507,-40.853515625,-72.998046875
A short story about a famous con man,openai-community/gpt2-xl,4,1,2,1.6189565128750272,-33.55859375,-33.105224609375
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,2,1.6547929445902507,-70.2669677734375,-74.77459716796875
A short story about a famous con man,openai-community/gpt2-xl,6,1,2,1.6189565128750272,-45.673377990722656,-77.01715087890625
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,2,1.6547929445902507,-37.91105651855469,-71.4765625
A short story about a famous con man,openai-community/gpt2-xl,8,1,2,1.6189565128750272,-30.9423828125,-56.23046875
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,2,1.6547929445902507,-47.8662109375,-60.4208984375
A short story about a famous con man,allenai/OLMo-2-1124-13B,2,1,2,1.5533932579888239,-28.861328125,-41.76953125
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,2,1.4824672275119357,-27.806396484375,-53.5078125
A short story about a famous con man,allenai/OLMo-2-1124-13B,4,1,2,1.5533932579888239,-23.4288330078125,-42.806884765625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,2,1.4824672275119357,-38.71484375,-39.39453125
A short story about a famous con man,allenai/OLMo-2-1124-13B,6,1,2,1.5533932579888239,-49.77641296386719,-67.02630615234375
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,2,1.4824672275119357,-51.28211975097656,-64.691162109375
A short story about a famous con man,allenai/OLMo-2-1124-13B,8,1,2,1.5533932579888239,-31.302734375,-44.478515625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,2,1.4824672275119357,-22.2958984375,-50.16796875
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,2,1,2,2.0255367755889893,-31.71484375,-49.109375
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,2,2.028091695573595,-60.546875,-78.009765625
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,4,1,2,2.0255367755889893,-25.1160888671875,-31.065185546875
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,2,2.028091695573595,-39.873046875,-69.0927734375
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,6,1,2,2.0255367755889893,-33.191162109375,-33.35107421875
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,2,2.028091695573595,-70.2493896484375,-74.078369140625
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,8,1,2,2.0255367755889893,-45.178104400634766,-76.46484375
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,2,2.028091695573595,-37.35252380371094,-74.203125
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,2,1,2,1.733842346403334,-30.984375,-54.2265625
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,2,1.6488305462731256,-47.8818359375,-61.9501953125
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,4,1,2,1.733842346403334,-29.0615234375,-41.1953125
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,2,1.6488305462731256,-29.93798828125,-56.7265625
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,6,1,2,1.733842346403334,-22.94677734375,-42.725830078125
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,2,1.6488305462731256,-38.7197265625,-40.71875
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,8,1,2,1.733842346403334,-28.598331451416016,-70.05122375488281
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,2,1.6488305462731256,-49.27080154418945,-68.371337890625
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,2,1,3,2.7789554595947266,-30.9873046875,-45.7734375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,3,2.564467748006185,-23.4482421875,-50.37890625
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,4,1,3,3.0708834330240884,-33.0859375,-49.3359375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,3,2.797125498453776,-61.271484375,-82.2265625
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,6,1,3,3.0708834330240884,-24.617523193359375,-33.01507568359375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,3,2.797125498453776,-40.36279296875,-72.998046875
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,8,1,3,3.0708834330240884,-33.55859375,-33.105224609375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,3,2.797125498453776,-70.2669677734375,-74.77459716796875
A short story about a famous con man,openai-community/gpt2-xl,2,1,3,2.075503667195638,-45.673377990722656,-77.01715087890625
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,3,2.025780518849691,-37.91105651855469,-71.4765625
A short story about a famous con man,openai-community/gpt2-xl,4,1,3,2.1164231300354004,-30.9423828125,-56.23046875
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,3,2.111936887105306,-47.8662109375,-60.4208984375
A short story about a famous con man,openai-community/gpt2-xl,6,1,3,2.1164231300354004,-28.861328125,-41.76953125
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,3,2.111936887105306,-28.397705078125,-53.5078125
A short story about a famous con man,openai-community/gpt2-xl,8,1,3,2.1164231300354004,-22.363525390625,-42.806884765625
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,3,2.111936887105306,-38.2060546875,-39.39453125
A short story about a famous con man,allenai/OLMo-2-1124-13B,2,1,3,2.276466210683187,-27.848384857177734,-67.02630615234375
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,3,2.2597250938415527,-49.046730041503906,-64.691162109375
A short story about a famous con man,allenai/OLMo-2-1124-13B,4,1,3,2.4715096155802407,-30.9345703125,-44.478515625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,3,2.431518872578939,-23.3349609375,-50.16796875
A short story about a famous con man,allenai/OLMo-2-1124-13B,6,1,3,2.4715096155802407,-32.94921875,-49.109375
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,3,2.431518872578939,-61.05078125,-78.009765625
A short story about a famous con man,allenai/OLMo-2-1124-13B,8,1,3,2.4715096155802407,-24.990509033203125,-31.065185546875
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,3,2.431518872578939,-39.6650390625,-69.0927734375
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,2,1,3,2.0436155796051025,-39.6185302734375,-38.3985595703125
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,3,1.9486085573832195,-59.799049377441406,-71.95870971679688
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,4,1,3,2.0586200058460236,-45.89308452606201,-75.0343017578125
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,3,1.9180512527624767,-37.83329772949219,-62.739341735839844
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,6,1,3,2.0586200058460236,-54.505859375,-55.78515625
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,3,1.9180512527624767,-46.796875,-57.0400390625
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,8,1,3,2.0586200058460236,-29.98046875,-41.265625
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,3,1.9180512527624767,-34.174072265625,-58.359375
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,2,1,3,2.500380516052246,-21.797893047332764,-43.23450469970703
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,3,2.382272720336914,-40.962890625,-42.171875
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,4,1,3,2.907213111718496,-46.087841153144836,-60.65970516204834
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,3,2.708133488893509,-51.63926315307617,-67.34201049804688
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,6,1,3,2.907213111718496,-32.05902671813965,-43.86625671386719
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,3,2.708133488893509,-29.735107421875,-51.62255859375
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,8,1,3,2.907213111718496,-28.04296875,-47.01171875
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,3,2.708133488893509,-62.1640625,-79.48046875
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,2,1,4,-0.019681490384615384,-28.19122314453125,-37.6024169921875
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,4,0.0908954326923077,-43.5146484375,-67.560546875
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,4,1,4,1.7878605769230769,-39.7144775390625,-38.07373046875
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,4,1.9452373798076923,-59.18299102783203,-71.98627471923828
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,6,1,4,1.7878605769230769,-45.55835437774658,-75.3446273803711
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,4,1.9452373798076923,-38.83294486999512,-63.142311096191406
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,8,1,4,1.7878605769230769,-54.138671875,-56.40234375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,4,1.9452373798076923,-45.7802734375,-58.02392578125
A short story about a famous con man,openai-community/gpt2-xl,2,1,4,0.09840745192307693,-30.048828125,-41.03515625
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,4,0.17412860576923078,-30.568115234375,-56.5
A short story about a famous con man,openai-community/gpt2-xl,4,1,4,1.5945763221153846,-21.38772177696228,-41.41024208068848
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,4,1.6588792067307692,-40.587890625,-41.37109375
A short story about a famous con man,openai-community/gpt2-xl,6,1,4,1.5945763221153846,-45.57539355754852,-58.71092510223389
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,4,1.6588792067307692,-51.55363845825195,-65.9124984741211
A short story about a famous con man,openai-community/gpt2-xl,8,1,4,1.5945763221153846,-32.21468734741211,-43.74121856689453
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,4,1.6588792067307692,-31.018310546875,-51.9132080078125
A short story about a famous con man,allenai/OLMo-2-1124-13B,2,1,4,0.13431490384615385,-28.38671875,-48.060546875
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,4,0.18389423076923078,-60.359375,-77.27734375
A short story about a famous con man,allenai/OLMo-2-1124-13B,4,1,4,1.1564002403846154,-27.640625,-35.97174072265625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,4,1.2279146634615385,-43.5830078125,-65.162109375
A short story about a famous con man,allenai/OLMo-2-1124-13B,6,1,4,1.1564002403846154,-39.6185302734375,-38.3985595703125
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,4,1.2279146634615385,-59.799049377441406,-71.95870971679688
A short story about a famous con man,allenai/OLMo-2-1124-13B,8,1,4,1.1564002403846154,-45.89308452606201,-75.0343017578125
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,4,1.2279146634615385,-37.34226417541504,-62.739341735839844
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,2,1,4,0.18028846153846154,-35.0556640625,-55.78515625
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,4,0.234375,-44.17724609375,-57.0400390625
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,4,1,4,1.7146935096153846,-27.8671875,-41.265625
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,4,1.6810396634615385,-30.97149658203125,-58.359375
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,6,1,4,1.7146935096153846,-24.224666833877563,-43.23450469970703
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,4,1.6810396634615385,-41.470703125,-42.171875
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,8,1,4,1.7146935096153846,-44.12952148914337,-60.65970516204834
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,4,1.6810396634615385,-49.79071044921875,-67.34201049804688
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,2,1,4,0.3010817307692308,-30.775684356689453,-43.86625671386719
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,4,0.3551682692307692,-24.810302734375,-51.62255859375
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,4,1,4,2.1356670673076925,-27.703125,-47.01171875
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,4,1.9779897836538463,-59.421875,-79.48046875
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,6,1,4,2.1356670673076925,-26.188720703125,-37.6024169921875
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,4,1.9779897836538463,-41.3359375,-67.560546875
A short story about a famous con man,Qwen/Qwen2.5-7B-Instruct,8,1,4,2.1356670673076925,-39.7144775390625,-38.07373046875
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,4,1.9779897836538463,-59.18299102783203,-71.98627471923828
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,2,1,5,1.0272042410714286,-45.55835437774658,-75.3446273803711
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,5,0.9199916294642857,-37.799068450927734,-63.142311096191406
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,4,1,5,1.0858677455357142,-34.8369140625,-56.40234375
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,5,0.9778180803571429,-44.34716796875,-58.02392578125
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,6,1,5,1.0048828125,-27.89453125,-41.03515625
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,5,0.8967633928571429,-29.5164794921875,-56.5
A short story about a famous con man,SakanaAI/TinySwallow-1.5B-Instruct,8,1,5,1.0048828125,-24.268113613128662,-41.41024208068848
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,5,0.8967633928571429,-41.306640625,-41.37109375
A short story about a famous con man,openai-community/gpt2-xl,2,1,5,0.7316545758928571,-43.78584361076355,-58.71092510223389
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,5,0.8745465959821429,-49.6023063659668,-65.9124984741211
A short story about a famous con man,openai-community/gpt2-xl,4,1,5,0.9187709263392857,-31.018942832946777,-43.74121856689453
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,5,0.9769112723214286,-24.907958984375,-51.9132080078125
A short story about a famous con man,openai-community/gpt2-xl,6,1,5,0.87255859375,-27.82421875,-48.060546875
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,5,0.9400111607142857,-59.1015625,-77.27734375
A short story about a famous con man,openai-community/gpt2-xl,8,1,5,0.87255859375,-26.16162109375,-35.97174072265625
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,5,0.9400111607142857,-41.115234375,-65.162109375
A short story about a famous con man,allenai/OLMo-2-1124-13B,2,1,5,0.6942661830357143,-39.6185302734375,-38.3985595703125
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,5,0.6312779017857143,-59.799049377441406,-71.95870971679688
A short story about a famous con man,allenai/OLMo-2-1124-13B,4,1,5,1.3238002232142858,-45.89308452606201,-75.0343017578125
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,5,1.2906668526785714,-37.34226417541504,-62.739341735839844
A short story about a famous con man,allenai/OLMo-2-1124-13B,6,1,5,1.5863560267857142,-35.0556640625,-55.78515625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,5,1.5747767857142858,-44.82421875,-57.0400390625
A short story about a famous con man,allenai/OLMo-2-1124-13B,8,1,5,1.5863560267857142,-28.251953125,-41.265625
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,5,1.5747767857142858,-29.729095458984375,-58.359375
A short story about a famous con man,meta-llama/Llama-3.1-8B-Instruct,2,1,5,0.5750558035714286,-24.566622734069824,-43.23450469970703
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,5,0.5821707589285714,-40.0546875,-42.171875
