topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,2,2.2705281575520835,-45.673377990722656,-77.01715087890625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,2,1.7413207160101996,-37.91105651855469,-71.4765625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,2,1.7825090620252821,-30.9423828125,-56.23046875,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,2,1.6547929445902507,-47.8662109375,-60.4208984375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,2,1.4139287736680772,-28.861328125,-41.76953125,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,2,1.4824672275119357,-28.397705078125,-53.5078125,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,2,1.7064926889207628,-22.363525390625,-42.806884765625,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,2,2.028091695573595,-36.8583984375,-39.39453125,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,2,1.9733887778388128,-27.19460678100586,-67.02630615234375,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,2,1.6488305462731256,-38.909828186035156,-64.691162109375,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,3,2.1880811055501304,-30.4765625,-44.478515625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,3,2.797125498453776,-21.7353515625,-50.16796875,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,3,1.8790559768676758,-31.30859375,-49.109375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,3,2.111936887105306,-60.5390625,-78.009765625,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,3,2.6508054733276367,-22.668792724609375,-31.065185546875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,3,2.431518872578939,-39.02880859375,-69.0927734375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,3,1.716973344484965,-37.58935546875,-37.565185546875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,3,1.9180512527624767,-63.37415313720703,-76.99696350097656,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,3,2.523774782816569,-49.96133804321289,-82.04650115966797,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,3,2.708133488893509,-38.537776947021484,-61.086448669433594,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,4,1.9072265625,-33.77734375,-57.453125,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,4,1.9452373798076923,-47.0654296875,-62.1572265625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,4,1.8212139423076923,-28.390625,-43.14453125,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,4,1.6588792067307692,-28.578399658203125,-61.84375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,4,1.2448918269230769,-24.056190490722656,-45.24628925323486,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,4,1.2279146634615385,-41.318359375,-42.85546875,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,4,1.5537860576923077,-30.53359365463257,-59.75942611694336,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,4,1.6810396634615385,-37.1539306640625,-69.1863899230957,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,4,2.199894831730769,-33.34023904800415,-42.71184539794922,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,4,1.9779897836538463,-26.226318359375,-52.5751953125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,5,1.3168247767857142,-27.7109375,-45.6875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,5,0.8967633928571429,-59.56640625,-79.02734375,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,5,1.0779854910714286,-27.85595703125,-36.70135498046875,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,5,0.9400111607142857,-42.3779296875,-66.67578125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,5,1.7979910714285714,-39.7144775390625,-38.07373046875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,5,1.5747767857142858,-59.18299102783203,-71.98627471923828,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,5,1.3367745535714286,-45.55835437774658,-75.3446273803711,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,5,1.1870814732142858,-37.799068450927734,-63.142311096191406,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,5,1.4060756138392858,-34.8369140625,-56.40234375,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,5,1.6920340401785714,-44.86376953125,-58.02392578125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,6,1.5554470486111112,-28.283203125,-41.03515625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,6,1.4342447916666667,-28.86749267578125,-56.5,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,6,1.6393229166666667,-24.256608963012695,-41.41024208068848,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,6,1.4168836805555556,-41.279296875,-41.37109375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,6,1.7853732638888888,-30.426389575004578,-58.71092510223389,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,6,1.7088758680555556,-36.76972961425781,-65.9124984741211,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,6,2.0923394097222223,-33.322285175323486,-43.74121856689453,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,6,1.9819878472222223,-26.131103515625,-51.9132080078125,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,6,2.3560112847222223,-27.375,-48.060546875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,6,2.4439832899305554,-59.306640625,-77.27734375,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,7,2.961891867897727,-28.1480712890625,-35.97174072265625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,7,2.282737038352273,-42.185546875,-65.162109375,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,7,3.0241227583451704,-35.4228515625,-33.6044921875,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,7,2.512046120383523,-44.46251678466797,-57.11299514770508,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,7,2.6004694158380683,-33.97600173950195,-59.426719665527344,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,7,2.3018022017045454,-30.05648422241211,-61.86614990234375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,7,2.0814874822443183,-29.30859375,-45.4921875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,7,1.6370738636363635,-33.447265625,-58.619140625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,7,3.1555744517933237,-22.03125,-38.099609375,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,7,2.516367132013494,-23.48858642578125,-52.09375,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,8,2.3106201171875,-7.606247901916504,-41.87065124511719,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,8,2.0443359375,-32.8134765625,-39.46875,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,8,2.1190098762512206,-18.46518039703369,-39.001572370529175,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,8,1.7153633117675782,-31.874008178710938,-48.16514587402344,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,8,3.4264403343200684,-24.561279296875,-33.9765625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,8,3.2757165908813475,-17.1510009765625,-50.23974609375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,8,2.8169038772583006,-25.263671875,-47.7578125,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,8,2.6961977005004885,-51.564453125,-70.240234375,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,8,4.036935520172119,-28.414306640625,-35.43719482421875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,8,3.807013988494873,-34.8642578125,-61.6572265625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,9,0.4334309895833333,-34.150390625,-34.0654296875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,9,0.2817925347222222,-47.39283466339111,-58.100507736206055,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,9,0.17078993055555555,-37.570796966552734,-64.25520706176758,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,9,0.010199652777777778,-32.246822357177734,-61.425048828125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,9,0.7394748263888888,-29.830078125,-45.79296875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,9,0.5479600694444444,-33.4814453125,-55.5283203125,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,9,0.095703125,-22.3349609375,-37.71484375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,9,-0.056966145833333336,-22.08642578125,-47.40625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,9,0.5601671006944444,-8.164342880249023,-40.9215087890625,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,9,0.7143012152777778,-33.173828125,-38.10546875,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,10,2.935599517822266,-18.92994785308838,-44.41112244129181,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,10,2.6554466247558595,-31.656951904296875,-51.61529541015625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,10,1.9483888308207193,-24.7442626953125,-38.4375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,10,1.8856357018152872,-17.429931640625,-51.13037109375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,10,1.3690927982330323,-25.6484375,-46.4921875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,10,1.6987449725468953,-51.06982421875,-70.484375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,10,2.2068559010823567,-28.3704833984375,-34.441162109375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,10,2.450679397583008,-34.205078125,-67.7314453125,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,10,2.3650732676188153,-35.676025390625,-31.877685546875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,10,2.427322340011597,-45.53314208984375,-57.47338104248047,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,11,2.5371780395507812,-28.894062995910645,-59.610931396484375,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,11,1.9831795325646033,-35.83284330368042,-56.4365234375,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,11,2.4640353276179385,-33.8203125,-54.01953125,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,11,2.2417514507587137,-39.1640625,-57.87890625,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,11,1.2531644381009615,-20.2197265625,-39.05078125,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,11,1.5352571927584135,-30.0177001953125,-52.9140625,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,11,1.7849606734055738,-13.408536911010742,-41.57757568359375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,11,1.953378677368164,-42.986328125,-43.84765625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,11,2.7664888822115383,-18.288061141967773,-51.390899658203125,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,11,2.496331728421725,-35.00432777404785,-58.20881652832031,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,12,1.4021267361111112,-25.525634765625,-39.94140625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,12,1.5557725694444444,-19.9423828125,-49.1796875,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,12,0.9371606349945069,-30.53125,-51.0078125,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,12,1.0418933391571046,-53.3564453125,-75.05859375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,12,1.046142578125,-30.926177978515625,-39.12701416015625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,12,1.5214708116319444,-37.7373046875,-64.443359375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,12,1.6017523871527777,-33.937744140625,-32.2825927734375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,12,0.9249131944444444,-52.501922607421875,-63.558738708496094,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,12,1.4172092013888888,-29.67216396331787,-66.17781448364258,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,12,1.9105902777777777,-34.50462520122528,-57.521240234375,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,13,2.407470703125,-34.662109375,-56.515625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,13,2.369384765625,-39.462890625,-56.08203125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,13,2.19573974609375,-20.517578125,-38.35546875,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,13,2.1485087076822915,-30.1171875,-48.125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,13,2.7573954264322915,-14.00019645690918,-40.96217346191406,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,13,2.8083699544270835,-42.8173828125,-42.3046875,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,13,2.4364420572916665,-18.797304153442383,-55.5574951171875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,13,2.3422037760416665,-33.79068565368652,-59.184608459472656,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,13,2.2536214192708335,-25.73974609375,-34.06396484375,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,13,2.0273513793945312,-20.3349609375,-48.44140625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,14,2.0654296875,-29.9453125,-49.484375,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,14,2.22509765625,-54.140625,-75.8623046875,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,14,2.2470703125,-30.117828369140625,-37.7135009765625,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,14,2.585693359375,-37.44287109375,-69.3896484375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,14,2.811767578125,-35.492431640625,-31.9879150390625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,14,2.60546875,-52.99115753173828,-67.68864440917969,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,14,2.5595703125,-37.42923164367676,-72.95022964477539,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,14,2.4423828125,-29.523357391357422,-59.80865478515625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,14,2.608154296875,-32.2333984375,-60.83203125,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,14,2.35205078125,-41.25,-60.93505859375,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,15,0.8707682291666666,-18.5537109375,-39.7578125,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,15,0.9705946180555556,-28.241806030273438,-62.953125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,15,1.0811631944444444,-11.379668235778809,-51.7490234375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,15,0.9983723958333334,-35.48193359375,-40.5234375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,15,1.0375434027777777,-26.47286605834961,-61.948965072631836,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,15,1.0785861545138888,-30.613510131835938,-66.57786560058594,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,15,1.2056749131944444,-25.4599609375,-38.21484375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,15,1.2067599826388888,-22.0679931640625,-49.1114501953125,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,15,1.4251302083333333,-27.990234375,-48.85546875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,15,0.9962565104166666,-53.01171875,-78.6640625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,16,0.835577392578125,-29.81256103515625,-38.53729248046875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,16,0.8396392822265625,-32.11865234375,-68.2744140625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,16,0.884539794921875,-33.9964599609375,-30.24951171875,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,16,0.782366943359375,-50.159095764160156,-60.97918510437012,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,16,0.702288818359375,-38.96935033798218,-68.64830017089844,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,16,0.60706787109375,-28.599016785621643,-61.09661865234375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,16,0.8200836181640625,-33.5634765625,-59.27734375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,16,0.7595672607421875,-39.314453125,-63.0029296875,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,16,0.87247314453125,-18.765869140625,-40.76171875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,16,0.97080078125,-26.304336547851562,-53.984375,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,17,1.5382486979166667,-11.155339241027832,-49.22547912597656,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,17,1.6702202690972223,-33.1650390625,-39.59375,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,17,1.3498806423611112,-26.127736806869507,-62.53757190704346,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,17,1.2764756944444444,-30.708721160888672,-63.161033630371094,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,17,1.4884982638888888,-26.1875,-43.3828125,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,17,1.8625759548611112,-21.559112548828125,-45.8873291015625,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,17,1.4836697048611112,-28.1328125,-46.94921875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,17,1.7748209635416667,-53.4345703125,-71.3671875,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,17,2.0086534288194446,-28.764923095703125,-38.472930908203125,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,17,2.4041341145833335,-31.1572265625,-74.431640625,clairvoyant
A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,max,2,0,-0.016335227272727272,-38.31640625,-38.13671875,naive
A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,max,2,0,-0.044744318181818184,-9.5126953125,-27.703125,clairvoyant
A short story titled 'The Record',openai-community/gpt2-xl,max,2,0,-0.36470170454545453,-8.0650634765625,-14.556640625,naive
A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,max,2,0,-0.39488636363636365,-16.607421875,-19.0859375,clairvoyant
A short story titled 'The Record',allenai/OLMo-2-1124-13B,max,2,0,-0.019886363636363636,-24.58935546875,-28.9111328125,naive
A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,max,2,0,0.013494318181818182,-3.30029296875,-14.5625,clairvoyant
A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,max,2,0,0.016690340909090908,-68.77978515625,-89.661376953125,naive
A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,max,2,0,-0.22389914772727273,-36.5439453125,-48.587890625,clairvoyant
A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,max,2,0,-0.00390625,-15.4794921875,-41.2109375,naive
A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,max,2,0,-0.04598721590909091,-40.798828125,-80.61590576171875,clairvoyant
A short story titled 'The Record',SakanaAI/TinySwallow-1.5B-Instruct,max,2,1,2.0211588541666665,-57.4794921875,-59.375,naive
A short story about a woman rapidly aging through her entire life,SakanaAI/TinySwallow-1.5B-Instruct,max,2,1,2.4683159722222223,-33.3857421875,-33.5224609375,clairvoyant
A short story titled 'The Record',openai-community/gpt2-xl,max,2,1,2.1102430555555554,-36.545501708984375,-55.759368896484375,naive
A short story about a woman rapidly aging through her entire life,openai-community/gpt2-xl,max,2,1,2.2552083333333335,-29.36279296875,-56.30859375,clairvoyant
A short story titled 'The Record',allenai/OLMo-2-1124-13B,max,2,1,1.7763671875,-51.26716613769531,-77.78668212890625,naive
A short story about a woman rapidly aging through her entire life,allenai/OLMo-2-1124-13B,max,2,1,2.0835503472222223,-54.615234375,-83.068359375,clairvoyant
A short story titled 'The Record',meta-llama/Llama-3.1-8B-Instruct,max,2,1,1.9587131076388888,-71.76665496826172,-90.0062255859375,naive
A short story about a woman rapidly aging through her entire life,meta-llama/Llama-3.1-8B-Instruct,max,2,1,2.2821180555555554,-74.9111328125,-99.861328125,clairvoyant
A short story titled 'The Record',Qwen/Qwen2.5-7B-Instruct,max,2,1,1.8569878472222223,-37.31640625,-36.82421875,naive
A short story about a woman rapidly aging through her entire life,Qwen/Qwen2.5-7B-Instruct,max,2,1,2.765353732638889,-11.3125,-33.52734375,clairvoyant
