,topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type,absolute_sentence_idx,postview_importance,online_importance,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online,avg_postview_importance,avg_online_importance
18,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,0,-0.227294921875,-33.55859375,-33.105224609375,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
19,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,0,-0.0106201171875,-70.2669677734375,-74.77459716796875,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
20,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,0,-0.227294921875,-45.673377990722656,-77.01715087890625,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
21,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,0,-0.0106201171875,-40.70294952392578,-71.4765625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
22,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,0,-0.227294921875,-55.048828125,-56.23046875,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
23,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,0,-0.0106201171875,-47.541015625,-60.4208984375,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
24,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,0,-0.47479248046875,-32.099609375,-41.76953125,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
25,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,0,-0.2068939208984375,-31.40625,-53.5078125,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
26,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,0,-0.47479248046875,-23.013671875,-42.806884765625,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
27,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,0,-0.2068939208984375,-38.328125,-39.39453125,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
28,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,0,-0.47479248046875,-49.22088623046875,-67.02630615234375,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
29,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,0,-0.2068939208984375,-51.742156982421875,-64.691162109375,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
30,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,0,-0.47479248046875,-33.820068359375,-44.478515625,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
31,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,0,-0.2068939208984375,-25.984375,-50.16796875,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
32,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,0,-0.4380645751953125,-33.25390625,-49.109375,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
33,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,0,-0.4683685302734375,-63.486328125,-78.009765625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
34,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,0,-0.4380645751953125,-25.77545166015625,-31.065185546875,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
35,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,0,-0.4683685302734375,-41.1904296875,-69.0927734375,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
36,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,0,-0.4380645751953125,-33.520751953125,-33.0703125,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
37,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,0,-0.4683685302734375,-77.577392578125,-81.511962890625,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
38,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,0,-0.4380645751953125,-45.7166748046875,-86.586181640625,naive,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
39,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,0,-0.4683685302734375,-37.88755798339844,-64.14453125,clairvoyant,0,5.25,6.0,7.0,7.0,5.0,2.0,10.0,10.0,2.0,2.0,5.25,6.0
40,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,1,0.2185872395833333,-31.6552734375,-56.44921875,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
41,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,1,0.2504238552517361,-45.978515625,-65.197265625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
42,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,1,0.2185872395833333,-28.10107421875,-42.38671875,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
43,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,1,0.2504238552517361,-30.755859375,-61.4765625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
44,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,1,0.2185872395833333,-26.47216796875,-45.92138671875,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
45,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,1,0.2504238552517361,-37.23828125,-42.1875,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
46,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,1,0.2185872395833333,-47.34452819824219,-71.76253509521484,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
47,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,1,0.2504238552517361,-51.10366439819336,-71.618408203125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
48,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,1,0.7568227979871962,-30.421875,-42.458984375,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
49,A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,1,0.7112935384114584,-22.559814453125,-50.3828125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
50,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,1,0.7568227979871962,-31.4765625,-47.5078125,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
51,A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,1,0.7112935384114584,-63.52734375,-76.203125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
52,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,1,0.7568227979871962,-25.583892822265625,-31.19329833984375,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
53,A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,1,0.7112935384114584,-40.017578125,-66.509765625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
54,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,1,0.7568227979871962,-33.55859375,-33.105224609375,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
55,A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,1,0.7112935384114584,-70.2669677734375,-74.77459716796875,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
56,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,1,0.7028043535020616,-45.673377990722656,-77.01715087890625,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
57,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,1,0.5948707262674967,-37.91105651855469,-71.4765625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
58,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,1,0.7028043535020616,-30.9423828125,-56.23046875,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
59,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,1,0.5948707262674967,-46.7314453125,-60.4208984375,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
60,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,1,0.7028043535020616,-27.78369140625,-41.76953125,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
61,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,1,0.5948707262674967,-29.7056884765625,-53.5078125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
62,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,1,0.7028043535020616,-24.708984375,-42.806884765625,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
63,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,1,0.5948707262674967,-36.4140625,-39.39453125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
64,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,1,0.6633466084798177,-47.75641632080078,-67.02630615234375,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
65,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,1,0.61426756117079,-52.61299133300781,-64.691162109375,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
66,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,1,0.6633466084798177,-31.72021484375,-44.478515625,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
67,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,1,0.61426756117079,-22.3798828125,-50.16796875,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
68,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,1,0.6633466084798177,-31.8671875,-49.109375,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
69,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,1,0.61426756117079,-64.2109375,-78.009765625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
70,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,1,0.6633466084798177,-25.12176513671875,-31.065185546875,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
71,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,1,0.61426756117079,-41.2333984375,-69.0927734375,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
72,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,1,0.8165270487467448,-33.520751953125,-33.0703125,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
73,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,1,0.6011160744561089,-77.577392578125,-81.511962890625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
74,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,1,0.8165270487467448,-45.7166748046875,-86.586181640625,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
75,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,1,0.6011160744561089,-37.88755798339844,-64.14453125,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
76,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,1,0.8165270487467448,-31.6552734375,-56.44921875,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
77,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,1,0.6011160744561089,-46.76171875,-65.197265625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
78,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,1,0.8165270487467448,-28.3876953125,-42.38671875,naive,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
79,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,1,0.6011160744561089,-29.0977783203125,-61.4765625,clairvoyant,1,8.25,7.0,10.0,10.0,6.0,7.0,10.0,10.0,4.0,4.0,8.25,7.0
80,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,2,2.2705281575520835,-23.562744140625,-45.92138671875,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
81,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,2,1.7413207160101996,-38.74609375,-42.1875,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
82,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,2,2.2705281575520835,-49.96085357666016,-71.76253509521484,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
83,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,2,1.7413207160101996,-50.8145751953125,-71.618408203125,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
84,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,2,2.2705281575520835,-29.9375,-42.458984375,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
85,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,2,1.7413207160101996,-22.240234375,-50.3828125,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
86,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,2,2.2705281575520835,-31.099609375,-47.5078125,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
87,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,2,1.7413207160101996,-59.66796875,-76.203125,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
88,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,2,1.782509062025282,-24.268402099609375,-31.19329833984375,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
89,A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,2,1.6547929445902507,-39.9287109375,-66.509765625,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
90,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,2,1.782509062025282,-33.55859375,-33.105224609375,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
91,A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,2,1.6547929445902507,-70.2669677734375,-74.77459716796875,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
92,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,2,1.782509062025282,-45.673377990722656,-77.01715087890625,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
93,A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,2,1.6547929445902507,-37.91105651855469,-71.4765625,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
94,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,2,1.782509062025282,-30.9423828125,-56.23046875,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
95,A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,2,1.6547929445902507,-47.8662109375,-60.4208984375,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
96,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,2,1.4139287736680772,-28.861328125,-41.76953125,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
97,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,2,1.4824672275119355,-27.806396484375,-53.5078125,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
98,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,2,1.4139287736680772,-23.4288330078125,-42.806884765625,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
99,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,2,1.4824672275119355,-38.71484375,-39.39453125,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
100,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,2,1.4139287736680772,-49.77641296386719,-67.02630615234375,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
101,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,2,1.4824672275119355,-51.28211975097656,-64.691162109375,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
102,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,2,1.4139287736680772,-31.302734375,-44.478515625,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
103,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,2,1.4824672275119355,-22.2958984375,-50.16796875,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
104,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,2,1.7064926889207628,-31.71484375,-49.109375,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
105,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,2,2.028091695573595,-60.546875,-78.009765625,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
106,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,2,1.7064926889207628,-25.1160888671875,-31.065185546875,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
107,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,2,2.028091695573595,-39.873046875,-69.0927734375,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
108,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,2,1.7064926889207628,-33.520751953125,-33.0703125,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
109,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,2,2.028091695573595,-77.577392578125,-81.511962890625,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
110,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,2,1.7064926889207628,-45.7166748046875,-86.586181640625,naive,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
111,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,2,2.028091695573595,-37.88755798339844,-64.14453125,clairvoyant,2,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25
