,Unnamed: 0,topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type,absolute_sentence_idx,postview_importance,online_importance,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online,avg_postview_importance,avg_online_importance,effect_event,cause_rating_count,cause_event,effect_rating_count
30,30,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,3,2.1880811055501304,-30.4765625,-44.478515625,naive,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
31,31,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,3,2.797125498453776,-21.7353515625,-50.16796875,clairvoyant,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
32,32,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,3,1.879055976867676,-31.30859375,-49.109375,naive,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
33,33,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,3,2.111936887105306,-60.5390625,-78.009765625,clairvoyant,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
34,34,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,3,2.6508054733276367,-22.668792724609375,-31.065185546875,naive,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
35,35,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,3,2.431518872578939,-39.02880859375,-69.0927734375,clairvoyant,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
36,36,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,3,1.716973344484965,-37.58935546875,-37.565185546875,naive,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
37,37,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,3,1.918051252762477,-63.37415313720703,-76.99696350097656,clairvoyant,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
38,38,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,3,2.523774782816569,-49.96133804321289,-82.04650115966797,naive,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
39,39,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,3,2.708133488893509,-38.53777694702149,-61.086448669433594,clairvoyant,3,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,,,,
40,40,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,4,1.9072265625,-33.77734375,-57.453125,naive,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
41,41,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,4,1.9452373798076923,-47.0654296875,-62.1572265625,clairvoyant,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
42,42,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,4,1.8212139423076923,-28.390625,-43.14453125,naive,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
43,43,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,4,1.6588792067307692,-28.578399658203125,-61.84375,clairvoyant,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
44,44,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,4,1.2448918269230769,-24.056190490722656,-45.24628925323486,naive,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
45,45,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,4,1.2279146634615383,-41.318359375,-42.85546875,clairvoyant,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
46,46,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,4,1.5537860576923077,-30.53359365463257,-59.75942611694336,naive,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
47,47,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,4,1.6810396634615383,-37.1539306640625,-69.1863899230957,clairvoyant,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
48,48,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,4,2.199894831730769,-33.34023904800415,-42.71184539794922,naive,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
49,49,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,4,1.9779897836538465,-26.226318359375,-52.5751953125,clairvoyant,4,4.0,4.25,2.0,5.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,4.25,"[0, 6, 8]","[2, 1, 1]","[1, 6]","[1, 1]"
50,50,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,5,1.3168247767857142,-27.7109375,-45.6875,naive,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
51,51,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,5,0.8967633928571429,-59.56640625,-79.02734375,clairvoyant,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
52,52,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,5,1.0779854910714286,-27.85595703125,-36.70135498046875,naive,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
53,53,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,5,0.9400111607142856,-42.3779296875,-66.67578125,clairvoyant,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
54,54,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,5,1.7979910714285714,-39.7144775390625,-38.07373046875,naive,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
55,55,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,5,1.5747767857142858,-59.18299102783203,-71.98627471923828,clairvoyant,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
56,56,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,5,1.3367745535714286,-45.55835437774658,-75.3446273803711,naive,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
57,57,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,5,1.1870814732142858,-37.799068450927734,-63.142311096191406,clairvoyant,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
58,58,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,5,1.4060756138392858,-34.8369140625,-56.40234375,naive,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
59,59,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,5,1.6920340401785714,-44.86376953125,-58.02392578125,clairvoyant,5,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,,,,
60,60,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,6,1.5554470486111112,-28.283203125,-41.03515625,naive,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
61,61,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,6,1.4342447916666667,-28.86749267578125,-56.5,clairvoyant,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
62,62,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,6,1.6393229166666667,-24.256608963012695,-41.41024208068848,naive,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
63,63,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,6,1.4168836805555556,-41.279296875,-41.37109375,clairvoyant,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
64,64,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,6,1.7853732638888888,-30.426389575004578,-58.71092510223389,naive,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
65,65,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,6,1.7088758680555556,-36.76972961425781,-65.9124984741211,clairvoyant,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
66,66,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,6,2.0923394097222223,-33.322285175323486,-43.74121856689453,naive,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
67,67,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,6,1.9819878472222223,-26.131103515625,-51.9132080078125,clairvoyant,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
68,68,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,6,2.3560112847222223,-27.375,-48.060546875,naive,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
69,69,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,6,2.4439832899305554,-59.306640625,-77.27734375,clairvoyant,6,8.0,5.75,5.0,10.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,5.75,"[4, 8]","[1, 2]","[0, 4]","[1, 1]"
70,70,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,7,2.961891867897727,-28.1480712890625,-35.97174072265625,naive,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
71,71,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,7,2.282737038352273,-42.185546875,-65.162109375,clairvoyant,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
72,72,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,7,3.0241227583451704,-35.4228515625,-33.6044921875,naive,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
73,73,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,7,2.512046120383523,-44.46251678466797,-57.11299514770508,clairvoyant,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
74,74,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,7,2.6004694158380683,-33.97600173950195,-59.426719665527344,naive,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
75,75,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,7,2.3018022017045454,-30.05648422241211,-61.86614990234375,clairvoyant,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
76,76,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,7,2.0814874822443183,-29.30859375,-45.4921875,naive,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
77,77,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,7,1.6370738636363635,-33.447265625,-58.619140625,clairvoyant,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
78,78,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,7,3.1555744517933237,-22.03125,-38.099609375,naive,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
79,79,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,7,2.516367132013494,-23.48858642578125,-52.09375,clairvoyant,7,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,,
80,80,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,8,2.3106201171875,-7.606247901916504,-41.87065124511719,naive,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
81,81,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,8,2.0443359375,-32.8134765625,-39.46875,clairvoyant,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
82,82,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,8,2.1190098762512206,-18.46518039703369,-39.001572370529175,naive,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
83,83,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,8,1.7153633117675782,-31.874008178710938,-48.16514587402344,clairvoyant,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
84,84,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,8,3.4264403343200684,-24.561279296875,-33.9765625,naive,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
85,85,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,8,3.2757165908813475,-17.1510009765625,-50.23974609375,clairvoyant,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
86,86,A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,max,1,8,2.8169038772583006,-25.263671875,-47.7578125,naive,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
87,87,A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,max,1,8,2.6961977005004885,-51.564453125,-70.240234375,clairvoyant,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
88,88,A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,max,1,8,4.036935520172119,-28.414306640625,-35.43719482421875,naive,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
89,89,A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,max,1,8,3.807013988494873,-34.8642578125,-61.6572265625,clairvoyant,8,7.0,5.25,5.0,9.0,7.0,7.0,5.0,9.0,4.0,3.0,7.0,5.25,,,"[4, 6, 9, 11, 17, 17]","[1, 2, 1, 1, 1, 1]"
90,90,A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,max,1,9,0.4334309895833333,-34.150390625,-34.0654296875,naive,9,3.75,2.5,1.0,6.0,3.0,5.0,4.0,3.0,2.0,1.0,3.75,2.5,"[8, 11]","[1, 1]",,
91,91,A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,max,1,9,0.2817925347222222,-47.39283466339111,-58.100507736206055,clairvoyant,9,3.75,2.5,1.0,6.0,3.0,5.0,4.0,3.0,2.0,1.0,3.75,2.5,"[8, 11]","[1, 1]",,
92,92,A short story titled 'Catch me if you Can',openai-community/gpt2-xl,max,1,9,0.1707899305555555,-37.570796966552734,-64.25520706176758,naive,9,3.75,2.5,1.0,6.0,3.0,5.0,4.0,3.0,2.0,1.0,3.75,2.5,"[8, 11]","[1, 1]",,
93,93,A short story about a famous con man being captured,openai-community/gpt2-xl,max,1,9,0.0101996527777777,-32.246822357177734,-61.425048828125,clairvoyant,9,3.75,2.5,1.0,6.0,3.0,5.0,4.0,3.0,2.0,1.0,3.75,2.5,"[8, 11]","[1, 1]",,
94,94,A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,max,1,9,0.7394748263888888,-29.830078125,-45.79296875,naive,9,3.75,2.5,1.0,6.0,3.0,5.0,4.0,3.0,2.0,1.0,3.75,2.5,"[8, 11]","[1, 1]",,
95,95,A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,max,1,9,0.5479600694444444,-33.4814453125,-55.5283203125,clairvoyant,9,3.75,2.5,1.0,6.0,3.0,5.0,4.0,3.0,2.0,1.0,3.75,2.5,"[8, 11]","[1, 1]",,
